"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Armenia","ARM","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","413152700.520366","383116883.116883","236068937.217891","206549907.44696","151809366.862208","166257454.313992","181144333.880784","188167549.93885","213841427.1556","225711135.199791","206423416.109696","219077937.520268","217887154.443185","263436943.863711","334636423.282407","475836167.674271","591560381.50817","865225867.807727","1095754346.6765","1062288893.74228","1115281751.22684","1207955260.62674","1158564052.04433","1327354057.52044","1403108761.43477","1383711170.53693","1418893886.52167","1420015993.90469","1431005068.1244","1711203944.79012","1892287599.6404","1894450245.15156","2278491059.74706","3407309671.83041","",
"American Samoa","ASM","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","2064160330.26565","2227680356.42886","2384480381.51686","2515520402.48326","2705920432.94727","3087840494.05448","3496640559.46249","3888640622.1825","4449760711.96171","4788000766.08012","5443200870.91214","6286561005.84976","7498831775.70093","9324791800.12812","12851879145.1732","16338932131.64","18781307431.0953","19263592567.1025","21130620733.8365","23421560831.5347","25819498607.2423","31504702194.3574","34421273309.0588","33064363672.4373","35446997496.8575","34767441057.7353","35446978175.7135","36698650079.4071","43591859185.9186","53328371771.8637","54940581587.1022","60735204898.1219","63464682711.1939","60479201798.7634","60729159460.3943","68630828630.8286","74587955547.8334","79594491165.2979","72989893508.7838","72984709863.3914","77149499724.9303","70393291410.0124","72621030254.228","86114152591.7298","112496798975.672","127879450777.864","137015029971.593","155374106932.559","191092023485.3","171177797608.004","216389803935.385","261058522296.485","292457324580.67","297346652563.63","275707425268.552","259298578703.769","241048706914.122","264430984902.134","285802095929.061","283716525927.097","290852159643.265","349062482974.082","373314913078.212","368315632193.191","",
"Austria","AUT","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","2200707065.36121","2570373939.86122","3142297160.54527","4334861901.74995","5401043875.14723","6725931895.39385","7381284037.73874","8768401465.32345","10956079787.7381","12955362840.9676","14388328015.3159","12761089510.9729","13076647576.0265","13231553546.8056","12501642252.94","12890566640.0638","18604377647.589","23284168480.6269","24685796277.7221","24206603224.129","29922915406.0269","31557191514.4372","36069773353.3684","36744077842.1862","39576137814.7211","47218575133.0695","46419911619.4437","41708591723.9824","42676478434.8599","43112181376.9229","37918506810.4785","37479596921.9646","40389198287.6393","49778590783.1136","56949430492.726","61152075452.7626","64761790915.5176","72952026143.7336","83265614843.7969","83100634573.6406","80387163344.6668","85890543203.113","81310035240.3516","85676589242.6552","87644371858.0507","75483956483.3046","77786398661.4399","81321127498.106","87992483572.3215","86520557765.3332","91887838029.2454","104413970410.076","96961222477.7436","104718487777.649","",
"Azerbaijan","AZE","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1563636363.63636","1038000000","78791512.9151291","473318329.582396","280521581.302043","309275197.148777","381748160.134286","499702035.567544","673946756.267769","715262616.90976","798810054.636015","778896981.371542","773532037.804321","901495297.033231","1119776614.53796","1380443209.9562","1791828260.27344","3192662132.74538","4149972006.5237","4926827265.56795","5757288811.36307","6679490329.0675","7334483131.69434","7626115142.48459","8190507517.71856","6585825775.64701","4859117064.25054","4634852758.75793","4931009513.43428","5358647058.82353","6924352941.17647","7602882352.94118","9174882352.94118","10139235294.1176","",
"Burundi","BDI","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","5249999.994855","5249999.994855","6999999.99314","10499999.98971","13999999.98628","11042370.3599006","11745142.8454648","12954285.7014055","14289142.8429354","15759999.9843301","23718857.1192738","26762285.6898173","31896000","35251006.7031697","43443809.5238095","48606984.1269841","39043478.2608696","61055555.5555556","84177777.7777778","100542222.222222","84777777.7777778","87888888.8888889","108000011.111111","90048413.1253362","77186542.4776543","90065456.9558373","118244722.781817","109663321.463257","115887317.924427","113445139.821135","122448979.591837","125710059.334593","208350335.808894","192339373.970346","161084131.827771","190584485.782237","173740710.156895","163190009.933305","153205079.405869","146745688.125488","129325488.781273","136193171.554164","121605265.965282","137011139.642719","175978962.857999","157512940.544537","193553011.924164","257677892.853642","325590861.677852","350946684.500307","445037612.738331","512002976.435947","543664431.117903","605550994.203565","700798049.874183","695991577.210993","620745736.306907","683246891.53686","699075588.097768","701966642.792733","830523730.207532","854181821.430012","1034184510.34925","805999580.437836","",
"Belgium","BEL","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","4483630496.16781","5299932571.33459","6804752085.05178","8865218381.28752","10607580778.7904","13889753208.2922","15150993730.4075","18088937535.1716","22913595491.2258","26712897633.4618","29006828528.0728","25243179052.5858","21883725940.3143","20417394082.8402","19460628316.1128","19698226781.7107","27229273072.0607","33646069151.8098","34315229840.9216","33592785626.5356","41512504828.5852","43918753691.6716","49212420326.2233","47853703358.209","51675286954.4249","61346469622.3317","60638045602.6059","53451285520.9743","54536341409.202","54959959864.0928","49821600480.4707","50459140642.0079","57203238982.5099","71518860070.5489","81955374860.9655","85219810430.5058","89567263157.294","101794037984.196","117258332954.844","116908430949.687","114254106911.667","125857949253.891","120581785136.953","126861835105.883","129745903498.745","109180950294.219","110741892969.105","115799098675.294","125727369500","123467515370.98","128720018937.277","142685554459.688","139416794872.569","153277396821.571","",
"Benin","BEN","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","22968893.6566477","23961099.4698192","25650809.4311778","26982797.5684774","24650171.4683217","25651983.7633525","24922821.370766","28208827.8053639","29349907.62455","29520630.6937913","32490217.7213712","33665459.6772358","41622422.6084547","50249185.9373902","47776390.8591918","62618723.8379024","60012429.6039329","62316914.7069127","77241465.8320861","95194823.7105576","121450465.474523","118241743.991263","132985901.214728","157977872.108235","143263661.298624","160707723.863719","203866094.930914","242898903.927702","213712872.998579","166519176.982289","344355583.726824","321437714.239037","267058711.795493","346975932.861524","249826597.288003","313460068.889409","319036310.706216","299710089.978818","321998014.159717","299558194.354895","284436235.077658","296355081.091169","326585474.490311","472276240.108712","545329876.18841","590502693.648123","679968879.780734","781654190.104509","1001636470.25315","1099356624.42806","1069090438.36426","1178782768.76155","1239843836.07189","1382249779.97614","1352391116.84406","1299546342.91186","1215302355.72175","1331004520.22388","1484788762.49987","1488397299.38903","1784176319.87533","1782446541.55697","1750239671.1509","1870050529.53887","",
"Burkina Faso","BFA","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","24540403.8476283","26806827.3085852","28651241.8434662","29105416.3156646","28649682.8041741","21361728.3446737","19946388.7015856","19470613.5632702","27895984.2310956","28277737.2233376","31836161.8305367","34424722.7875975","42038088.5465386","54536462.6330924","62086098.3884201","121185470.403321","98947361.8748828","113488687.406216","148267446.721747","188743191.548482","178005191.273713","164340279.371339","241868659.754323","230073037.524656","190420158.506061","268619334.8638","386741511.343104","472535033.524473","523729944.478869","526732923.960702","653040758.248915","680025861.755835","729527717.407461","682787954.830712","494005941.729282","599607252.092186","630849191.1572","580911742.444488","625419069.550219","408726291.574974","418812931.046535","466610949.715266","528495498.616174","644121569.699811","776104926.374815","847755891.925037","988799199.311864","1272741515.674","1386534361.55177","1438360587.70484","1461601106.23918","1725866631.17401","1790520176.24743","1970341058.40907","2157650869.91215","1886528977.30721","2118415634.65442","2502478443.58995","2926856363.17443","3286717534.35705","3506740925.71101","3988349246.86538","3739722967.45089","4059856880.43296","",
